well_tag_number,date_added,identification_plate_number,well_identification_plate_attached,well_status_code,well_class_code,well_subclass,licenced_status_code,intended_water_use_code,observation_well_number,obs_well_status_code,water_supply_system_name,water_supply_system_well_name,street_address,city,legal_lot,legal_plan,legal_district_lot,legal_block,legal_section,legal_township,legal_range,land_district_code,legal_pid,well_location_description,latitude_Decdeg,longitude_Decdeg,utm_zone_code,utm_northing,utm_easting,coordinate_acquisition_code,construction_start_date,construction_end_date,alteration_start_date,alteration_end_date,decommission_start_date,decommission_end_date,driller_name,consultant_name,consultant_company,diameter_inches,total_depth_drilled_ft-bgl,finished_well_depth_ft-bgl,final_casing_stick_up_inches,bedrock_depth_ft-bgl,ground_elevation_ft-asl,ground_elevation_method_code,static_water_level_ft-btoc,well_yield_usgpm,well_yield_unit_code,artesian_flow_usgpm,artesian_pressure_psi,well_cap_type,well_disinfected_code,well_orientation_code,alternative_specs_submitted,surface_seal_material_code,surface_seal_method_code,surface_seal_depth_ft,backfill_type,backfill_depth_ft,liner_material_code,liner_diameter_inches,liner_thickness_inches,surface_seal_thickness_inches,liner_from_ft-bgl,liner_to_ft-bgl,screen_intake_method_code,screen_type_code,screen_material_code,other_screen_material,screen_information,screen_opening_code,screen_bottom_code,other_screen_bottom,filter_pack_from_ft,filter_pack_to_ft,filter_pack_material_code,filter_pack_thickness_inches,filter_pack_material_size_code,development_hours,development_notes,water_quality_colour,water_quality_odour,yield_estimation_method_code,yield_estimation_rate_usgpm,yield_estimation_duration_hours,static_level_before_test_ft-btoc,drawdown_ft-btoc,hydro_fracturing_performed,hydro_fracturing_yield_increase,decommission_reason,decommission_method_code,decommission_details,decommission_sealant_material,decommission_backfill_material,comments,ems,person_responsible,company_of_person_responsible,aquifer_id,avi_years,storativity,transmissivity_m^2/s,hydraulic_conductivity_m/s,specific_storage_1/m,specific_yield,testing_method,testing_duration_hours,analytic_solution_type,boundary_effect_code,aquifer_lithology_code,artesian_pressure_head_ft-agl,artesian_conditions,nr_district_name,nr_region_name,fullAddress,streetAddress,civicNumber,civicNumberSuffix,streetName,streetType,isStreetTypePrefix,streetDirection,isStreetDirectionPrefix,streetQualifier,localityName,distance_geocode,distance_to_matching_pid,score_address,score_location_description,score_city,xref_ind,alr_ind,btm_label,esa_landclass
124415,2021-12-02,30371,side of casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,NA,NA,106,NEP656A,400,NA,NA,NA,NA,26.0,16210913,NA,49.4157,-118.00557,11,5474155,427065,H,2021-11-15,2021-11-16,NA,NA,NA,NA,Chris Barling,NA,NA,NA,360,360,18,41,1975,GPS,63.9,4.5,NA,NA,NA,Rodent free,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,18,drill cuttings,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,CLEAR,NA,AIR_LIFT,NA,2,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,CONTRACTOR NOT RESPONSIBLE FOR QUANTITY OR QUALITY,NA,Barling,Wild West Drilling Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Selkirk Natural Resource District,Kootenay-Boundary Natural Resource Region,"7221 Broadwater Rd, Robson, BC",7221 Broadwater Rd,7221,NA,Broadwater,Rd,FALSE,NA,NA,NA,Robson,200,0,0,0,0,FALSE,NA,Young Forest,Tree cover
124417,2021-12-02,NA,NA,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,7819 Valley View Road,Powell River,1,6469,5099,NA,NA,NA,NA,36.0,10899472,NA,49.82785,-124.48587,10,5520549,393134,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,NA,NA,NA,NA,NA,3,USGPM,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,Limited information through domestic well registration. X-referenced through domestic well registration.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Sunshine Coast Natural Resource District,South Coast Natural Resource Region,"7819 Valley Rd, Powell River, BC",7819 Valley Rd,7819,NA,Valley,Rd,FALSE,NA,NA,NA,Powell River,200,0,100,0,100,TRUE,ALR,Urban,Grassland
124418,2021-12-02,61345,On well casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,560 BRENT ROAD,COMOX,NA,NA,191,NA,NA,NA,NA,15.0,NA,NA,49.68436,-124.888,10,5505249,363813,H,2021-06-11,2021-06-11,NA,NA,NA,NA,Richard Bourget,NA,NA,NA,55,55,16,NA,72,GPS,17,10,USGPM,NA,NA,Welded lid,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,17,NA,NA,NA,NA,NA,2,NA,NA,OPEN_HOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,10,1,17,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Bourget,Drillwell Enterprises Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Campbell River Natural Resource District,West Coast Natural Resource Region,"580 Brent Rd, Comox, BC",580 Brent Rd,580,NA,Brent,Rd,FALSE,NA,NA,NA,Comox,200,NA,92,0,100,FALSE,NA,Urban,Tree cover
124419,2021-12-02,61346,On well casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,540 BRENT ROAD,COMOX,NA,NA,191,NA,NA,NA,NA,15.0,NA,NA,49.68377,-124.88797,10,5505183,363813,H,2021-06-14,2021-06-15,NA,NA,NA,NA,Richard Bourget,NA,NA,NA,55,53,16,NA,35,GPS,20,25,USGPM,NA,NA,Welded lid,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,17,NA,NA,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,NA,CONTIN_SLT,OTHER,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,25,1,20,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Bourget,Drillwell Enterprises Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Campbell River Natural Resource District,West Coast Natural Resource Region,"560 Brent Rd, Comox, BC",560 Brent Rd,560,NA,Brent,Rd,FALSE,NA,NA,NA,Comox,200,NA,92,0,100,FALSE,NA,Urban,Tree cover
124420,2021-12-02,62046,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,1618 White Lake Road,Kaleden,NA,NA,NA,NA,NA,NA,NA,54.0,16875117,NA,49.30425,-119.7565,11,5464934,299625,H,2021-06-12,2021-06-14,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,120,120,24,40,NA,NA,36,300,USGPM,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,18,NA,NA,PVC,4,0.25,2,20,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,300,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"1618 White Lake Rd, Kaleden, BC",1618 White Lake Rd,1618,NA,White Lake,Rd,FALSE,NA,NA,NA,Kaleden,200,0,100,0,100,FALSE,NA,Young Forest,Grassland
124421,2021-12-02,62047,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,4662 June Springs Road,Kelowna,6,34975,NA,NA,NA,NA,NA,54.0,2913089,NA,49.80937,-119.38643,11,5520168,328304,H,2021-01-01,2021-01-01,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,220,220,24,4,2764,GPS,1,25,USGPM,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,16,NA,NA,PVC,4,0.25,2,8,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,25,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"no construction date provided but year most likely 2021walter j
shale trap @ 160'",NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"4662 June Springs Rd, Kelowna, BC",4662 June Springs Rd,4662,NA,June Springs,Rd,FALSE,NA,NA,NA,Kelowna,200,0,100,0,100,FALSE,NA,Selectively Logged,Tree cover
124422,2021-12-02,62049,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,Westside Road,Westside Okanagan,177,99954,NA,4.0,NA,NA,NA,41.0,NA,NA,50.30838,-119.38122,11,5575631,330448,H,2021-07-09,2021-07-12,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,109,109,30,107,1178,GPS,20,40,USGPM,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,20,NA,NA,NA,NA,NA,4,NA,NA,UNCASD_HLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,MILKY,NA,AIR_LIFT,40,3,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99999,NA,0,0,30,FALSE,ALR,Range Lands,Grassland
124423,2021-12-02,62050,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,393 North Fork Road,Cherryville,A,40100,NA,NA,NA,NA,NA,41.0,11864958,NA,50.23898,-118.5753,11,5566389,387666,H,2021-07-15,2021-08-05,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,180,180,24,122,2032,GPS,NA,70,USGPM,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,18,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,70,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,set pump at 130' from toc,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"393 North Fork Rd, Cherryville, BC",393 North Fork Rd,393,NA,North Fork,Rd,FALSE,NA,NA,NA,Cherryville,200,0,100,0,100,FALSE,NA,Old Forest,Tree cover
124424,2021-12-02,62051,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,1382 Highway 6,Cherryville,4,NA,NA,NA,NA,NA,NA,41.0,6442544,NA,50.24687,-118.71018,11,5567479,378068,H,2021-08-08,2021-08-12,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,380,380,22,128,1819,GPS,146,25,USGPM,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,40,NA,NA,PVC,4,0.25,2,7,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,25,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,pump set at 360',NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"1382 Hwy 6, Cherryville, BC",1382 6 Hwy,1382,NA,6,Hwy,TRUE,NA,NA,NA,Cherryville,200,0,100,0,100,FALSE,NA,Selectively Logged,Tree cover
124425,2021-12-02,62052,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,10 Stecht Road,Cherryville,NA,NA,NA,NA,NA,NA,NA,41.0,13649388,NA,50.23826,-118.60649,11,5566357,385440,H,2021-08-17,2021-08-18,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,180,180,24,NA,1951,GPS,39,10,USGPM,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,18,NA,NA,PVC,4,0.25,2,6,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,AIR_LIFT,10,2,39,NA,FALSE,NA,NA,NA,NA,NA,NA,pump set @ 140',NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"12 Specht Rd, Cherryville, BC",12 Specht Rd,12,NA,Specht,Rd,FALSE,NA,NA,NA,Cherryville,200,0,83,0,100,FALSE,NA,Young Forest,Tree cover
124426,2021-12-02,62053,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,782 Highway 6,Cherryville,1,30758,NA,NA,22.0,27.0,NA,41.0,3852539,NA,50.23347,-118.60064,11,5565815,385846,H,2021-08-18,2021-08-19,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,37,35.5,24,NA,2151,GPS,NA,45,USGPM,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,18,NA,NA,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,K-packer & screen,CONTIN_SLT,BAIL,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,45,3,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,pump set: bottom of pump 34',NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"782 E Hwy 6, Cherryville, BC",782 6 Hwy E,782,NA,6,Hwy,TRUE,E,TRUE,NA,Cherryville,200,0,100,0,100,FALSE,NA,Young Forest,Tree cover
124427,2021-12-02,62054,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,133 Mitchell Road W,Cherryville,NA,NA,NA,NA,NA,NA,NA,41.0,NA,coordinates provided 50.16968N 118.60237W placed well about 5.4 km South of the well location address,50.21968,-118.60237,11,5564285,385690,H,2021-08-17,2021-08-23,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,487,487,24,NA,2598,GPS,65,0.75,USGPM,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,18,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,0.75,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"133 Mitchell Rd, Cherryville, BC",133 Mitchell Rd,133,NA,Mitchell,Rd,FALSE,NA,NA,NA,Cherryville,200,NA,100,29,100,FALSE,ALR,Agriculture,Grassland
124428,2021-12-02,50894,top of casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,731 Barber Road,Golden,2,5354,NA,NA,25.0,27.0,22.0,26.0,8546053,NA,51.33601,-116.9589,11,5687192,502863,H,2021-09-09,2021-09-09,NA,NA,NA,NA,Darrin Parnell,GLen Furey,Kicking Horse Water Services,NA,75,65,12,NA,3097,GPS,60,2,USGPM,NA,NA,temp,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Parnell,Kicking Horse Water Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Selkirk Natural Resource District,Kootenay-Boundary Natural Resource Region,"731 Barber Rd, Golden, BC",731 Barber Rd,731,NA,Barber,Rd,FALSE,NA,NA,NA,Golden,200,0,100,0,100,FALSE,NA,Residential Agriculture Mixtures,Tree cover
124429,2021-12-02,50891,NA,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,714 Golden Donald Upper Road,Golden,6,5354,NA,NA,25.0,27.0,22.0,26.0,14065126,NA,51.33472,-116.96056,11,5687049,502748,H,2021-09-09,2021-09-09,NA,NA,NA,NA,Darrin Parnell,Glen Furey,Kicking Horse Water Services,NA,140,135,12,NA,NA,NA,106,35,USGPM,NA,NA,temp,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AIR_LIFT,35,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Parnell,Kicking Horse Water Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Selkirk Natural Resource District,Kootenay-Boundary Natural Resource Region,"714 Golden-Donald Upper Rd, Golden, BC",714 Golden-Donald Upper Rd,714,NA,Golden-Donald Upper,Rd,FALSE,NA,NA,NA,Golden,200,0,100,0,100,FALSE,NA,Residential Agriculture Mixtures,Tree cover
124430,2021-12-03,65246,NA,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,2535 Kettleston Road,Golden,1,12856,NA,NA,34.0,28.0,22.0,26.0,9968067,NA,51.4375,-117.02167,11,5698479,498494,H,2021-09-01,2021-09-01,NA,NA,NA,NA,Glen Furey,NA,NA,NA,440,440,NA,139,2920,GPS,NA,0,USGPM,NA,NA,temp,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AIR_LIFT,0.2,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,dry hole,NA,Furey,Kicking Horse Water Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Selkirk Natural Resource District,Kootenay-Boundary Natural Resource Region,"2535 Kettleston Rd, Blaeberry, BC",2535 Kettleston Rd,2535,NA,Kettleston,Rd,FALSE,NA,NA,NA,Blaeberry,400,0,100,0,27,FALSE,NA,Wetlands,Tree cover
124431,2021-12-03,50889,top of casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,735 Barber Road,Golden,1,5354,NA,NA,29.0,27.0,22.0,26.0,NA,NA,51.33639,-116.95861,11,5687235,502883,H,2021-09-02,2021-09-02,NA,NA,NA,NA,Darrin Parnell,NA,NA,NA,72,65,NA,70,NA,NA,2.5,5,USGPM,NA,NA,TEMP,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PUMPING,5,2,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Parnell,Kicking Horse Water Services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Selkirk Natural Resource District,Kootenay-Boundary Natural Resource Region,"735 Barber Rd, Golden, BC",735 Barber Rd,735,NA,Barber,Rd,FALSE,NA,NA,NA,Golden,200,NA,100,0,100,FALSE,NA,Residential Agriculture Mixtures,Grassland
124432,2021-12-03,NA,NA,NEW,CLS_LP_GEO,NA,UNLICENSED,NA,NA,NA,NA,NA,3950 Glenmore Road,Kelowna,NA,NA,NA,NA,NA,NA,NA,41.0,NA,approx. 30ft from East (?) fence line and approx 150 ft off Glenmore Road,49.99812,-119.42618,11,5541242,326125,H,2018-12-14,2019-01-03,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,800,800,30,53,1700,GPS,725,0,NA,NA,NA,weld on cap,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,NA,18,7 bags of bentonite chips,18,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,well producing approx. 100 gals in 24 hrs (dry hole),NA,NA,AIR_LIFT,NA,2,725,NA,FALSE,NA,NA,NA,NA,NA,NA,"future geotechnical, well is producing only approx 75ft of water in 24hrs (100 GPD).  Dry Hole",NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"4000 Glenmore Rd N, Kelowna, BC",4000 Glenmore Rd N,4000,NA,Glenmore,Rd,FALSE,N,FALSE,NA,Kelowna,200,NA,81,44,100,FALSE,NA,Agriculture,Bare/sparse vegetation
124433,2021-12-03,53022,Casing,NEW,WATR_SPPLY,NA,UNLICENSED,IRR,NA,NA,NA,NA,717 Towner Park Road.,NORTH SAANICH,3,VIP3577,NA,NA,16.0,NA,2.0,40.0,NA,East side of property ~30m north of garage,48.66644,-123.46925,10,5390483,465449,H,2021-11-25,2021-12-02,NA,NA,NA,NA,Keldon Ehalt,NA,NA,NA,100,100,18,15,74,GPS,8.1,10,USGPM,NA,NA,Sealing,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,18.5,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Air lifted / surged well for 2 hours. 10 gal min yield remained stable,CLEAR,None,AIR_LIFT,10,2,8.1,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Ehalt,Essential Water Works,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,South Island Natural Resource District,West Coast Natural Resource Region,"717 Towner Park Rd, North Saanich, BC",717 Towner Park Rd,717,NA,Towner Park,Rd,FALSE,NA,NA,NA,North Saanich,200,NA,100,44,100,FALSE,NA,Urban,Grassland
124434,2021-12-03,52739,hose clamped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,Westside Road,West Kelowna,4,NA,3871,NA,NA,NA,NA,41.0,NA,approx. half way down driveway on left side approx 40 ft in front of RV pad,49.90551,-119.54105,11,5531221,317544,H,2018-12-03,2018-12-10,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,500,500,30,53,1560,GPS,69,25,USGPM,NA,NA,aluminium cap,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,18,8 bags of bentonite chips,18,PVC,4,NA,2,9,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,AIR_LIFT,25,3,69,NA,FALSE,NA,NA,NA,NA,NA,NA,"Intended water use: private domestic & water supply system; recommended pump set at 480' at 25 usgpm max.
FInished bit size 5 15/16",NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"1045 Bear Creek Rd, West Kelowna, BC",1045 Bear Creek Rd,1045,NA,Bear Creek,Rd,FALSE,NA,NA,NA,West Kelowna,200,NA,34,34,100,FALSE,NA,Range Lands,Bare/sparse vegetation
124435,2021-12-03,38679,hose clamped to casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,Carrie Road,West Kelowna,NA,NA,3191,NA,NA,NA,NA,41.0,NA,NA,49.83635,-119.70246,11,5523939,305678,H,2016-10-25,2016-11-01,NA,NA,NA,NA,James Alexander Genereux,NA,NA,NA,480,480,24,26,2566,GPS,50,1,USGPM,NA,NA,aluminium,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,18,6 bags bentonite chips,18,PVC,4,NA,2,12,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,AIR_LIFT,1,3,50,NA,FALSE,NA,NA,NA,NA,NA,NA,"intended water use: water supply system and private domestic;  set pump at 400';  finish bit size at 6""ID at 480';  liner thickness sch 40",NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"3510 Carre Rd, West Kelowna, BC",3510 Carre Rd,3510,NA,Carre,Rd,FALSE,NA,NA,NA,West Kelowna,200,NA,73,0,100,FALSE,NA,Residential Agriculture Mixtures,Tree cover
124436,2021-12-03,39018,hose clamped to casing,NEW,MONITOR,PERMANENT,UNLICENSED,NA,NA,NA,NA,NA,5101 Highway 33 East,Kelowna,8,KAP 32677,NA,NA,NA,NA,NA,41.0,NA,approx. 4 kms down Chlorination Road at bottom of draw of right side of road beside two other monitoring wells,49.85754,-119.30595,11,5525342,334259,H,2019-03-06,2019-03-19,NA,NA,NA,NA,James Alexander Genereux,NA,Golder & Association,NA,240,223,30,236,2132,GPS,114.5,1,USGPM,NA,NA,aluminium,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,18,8 bags of bentonite chips,18,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,top of K-packer at 214',CONTIN_SLT,BAIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AIR_LIFT,0.75,NA,114.5,NA,FALSE,NA,NA,NA,NA,NA,NA,well was drilled to bedrock then casing pulled back to last water bearing zone to screen.  Low flow rate on well due to fine & silty sand and clay layers in formation.  Recommended pump set at 200' at 1 GPM,NA,Genereux,Cyclone Drilling (2017) Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"4243 Hwy 33 E, Kelowna, BC",4243 33 Hwy E,4243,NA,33,Hwy,TRUE,E,FALSE,NA,Kelowna,400,NA,63,20,100,FALSE,NA,Range Lands,Bare/sparse vegetation
